input1_name,input1_qty,input1_href,input1_img,input1_bg,input2_name,input2_qty,input2_href,input2_img,input2_bg,input3_name,input3_qty,input3_href,input3_img,input3_bg,output_name,output_qty,output_href,output_img,output_bg
Carbon,1,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830,Sodium,1,https://nomansskyrecipes.com/raw/raw12,https://app.nmsassistant.com/assets/images/rawMaterials/12.png,#F26D15,,,,,,Sodium Nitrate,1,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15
Condensed Carbon,1,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830,Sodium,1,https://nomansskyrecipes.com/raw/raw12,https://app.nmsassistant.com/assets/images/rawMaterials/12.png,#F26D15,,,,,,Sodium Nitrate,2,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15
Carbon,1,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830,Sodium Nitrate,1,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15,,,,,,Dioxite,1,https://nomansskyrecipes.com/raw/raw28,https://app.nmsassistant.com/assets/images/rawMaterials/28.png,#1E4FD0
Condensed Carbon,1,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830,Sodium Nitrate,1,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15,,,,,,Dioxite,2,https://nomansskyrecipes.com/raw/raw28,https://app.nmsassistant.com/assets/images/rawMaterials/28.png,#1E4FD0
Carbon,1,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830,Pugneum,1,https://nomansskyrecipes.com/raw/raw31,https://app.nmsassistant.com/assets/images/rawMaterials/31.png,#4D2957,,,,,,Mordite,1,https://nomansskyrecipes.com/raw/raw30,https://app.nmsassistant.com/assets/images/rawMaterials/30.png,#512741
Condensed Carbon,1,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830,Pugneum,1,https://nomansskyrecipes.com/raw/raw31,https://app.nmsassistant.com/assets/images/rawMaterials/31.png,#4D2957,,,,,,Mordite,2,https://nomansskyrecipes.com/raw/raw30,https://app.nmsassistant.com/assets/images/rawMaterials/30.png,#512741
Sodium,1,https://nomansskyrecipes.com/raw/raw12,https://app.nmsassistant.com/assets/images/rawMaterials/12.png,#F26D15,Pugneum,1,https://nomansskyrecipes.com/raw/raw31,https://app.nmsassistant.com/assets/images/rawMaterials/31.png,#4D2957,,,,,,Sodium Nitrate,1,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15
Sodium Nitrate,1,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15,Pugneum,1,https://nomansskyrecipes.com/raw/raw31,https://app.nmsassistant.com/assets/images/rawMaterials/31.png,#4D2957,,,,,,Sodium Nitrate,3,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15
Carbon,2,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830,Mordite,1,https://nomansskyrecipes.com/raw/raw30,https://app.nmsassistant.com/assets/images/rawMaterials/30.png,#512741,,,,,,Faecium,3,https://nomansskyrecipes.com/raw/raw50,https://app.nmsassistant.com/assets/images/rawMaterials/50.png,#79502E
Condensed Carbon,1,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830,Mordite,1,https://nomansskyrecipes.com/raw/raw30,https://app.nmsassistant.com/assets/images/rawMaterials/30.png,#512741,,,,,,Faecium,4,https://nomansskyrecipes.com/raw/raw50,https://app.nmsassistant.com/assets/images/rawMaterials/50.png,#79502E
Sodium,2,https://nomansskyrecipes.com/raw/raw12,https://app.nmsassistant.com/assets/images/rawMaterials/12.png,#F26D15,Mordite,1,https://nomansskyrecipes.com/raw/raw30,https://app.nmsassistant.com/assets/images/rawMaterials/30.png,#512741,,,,,,Marrow Bulb,3,https://nomansskyrecipes.com/raw/raw48,https://app.nmsassistant.com/assets/images/rawMaterials/48.png,#5B6F35
Sodium Nitrate,1,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15,Mordite,1,https://nomansskyrecipes.com/raw/raw30,https://app.nmsassistant.com/assets/images/rawMaterials/30.png,#512741,,,,,,Marrow Bulb,4,https://nomansskyrecipes.com/raw/raw48,https://app.nmsassistant.com/assets/images/rawMaterials/48.png,#5B6F35
Ferrite Dust,2,https://nomansskyrecipes.com/raw/raw8,https://app.nmsassistant.com/assets/images/rawMaterials/8.png,#8A7F72,Pugneum,1,https://nomansskyrecipes.com/raw/raw31,https://app.nmsassistant.com/assets/images/rawMaterials/31.png,#4D2957,,,,,,Pure Ferrite,3,https://nomansskyrecipes.com/raw/raw9,https://app.nmsassistant.com/assets/images/rawMaterials/9.png,#8A7F72
Pure Ferrite,2,https://nomansskyrecipes.com/raw/raw9,https://app.nmsassistant.com/assets/images/rawMaterials/9.png,#8A7F72,Pugneum,1,https://nomansskyrecipes.com/raw/raw31,https://app.nmsassistant.com/assets/images/rawMaterials/31.png,#4D2957,,,,,,Magnetised Ferrite,3,https://nomansskyrecipes.com/raw/raw10,https://app.nmsassistant.com/assets/images/rawMaterials/10.png,#8A7F72
Magnetised Ferrite,3,https://nomansskyrecipes.com/raw/raw10,https://app.nmsassistant.com/assets/images/rawMaterials/10.png,#8A7F72,Pugneum,1,https://nomansskyrecipes.com/raw/raw31,https://app.nmsassistant.com/assets/images/rawMaterials/31.png,#4D2957,,,,,,Magnetised Ferrite,4,https://nomansskyrecipes.com/raw/raw10,https://app.nmsassistant.com/assets/images/rawMaterials/10.png,#8A7F72
Cadmium,1,https://nomansskyrecipes.com/raw/raw20,https://app.nmsassistant.com/assets/images/rawMaterials/20.png,#7B0000,Chromatic Metal,1,https://nomansskyrecipes.com/raw/raw23,https://app.nmsassistant.com/assets/images/rawMaterials/23.png,#260000,,,,,,Cadmium,2,https://nomansskyrecipes.com/raw/raw20,https://app.nmsassistant.com/assets/images/rawMaterials/20.png,#7B0000
Indium,1,https://nomansskyrecipes.com/raw/raw22,https://app.nmsassistant.com/assets/images/rawMaterials/22.png,#01387D,Chromatic Metal,1,https://nomansskyrecipes.com/raw/raw23,https://app.nmsassistant.com/assets/images/rawMaterials/23.png,#260000,,,,,,Indium,2,https://nomansskyrecipes.com/raw/raw22,https://app.nmsassistant.com/assets/images/rawMaterials/22.png,#01387D
Emeril,1,https://nomansskyrecipes.com/raw/raw21,https://app.nmsassistant.com/assets/images/rawMaterials/21.png,#36611C,Chromatic Metal,1,https://nomansskyrecipes.com/raw/raw23,https://app.nmsassistant.com/assets/images/rawMaterials/23.png,#260000,,,,,,Emeril,2,https://nomansskyrecipes.com/raw/raw21,https://app.nmsassistant.com/assets/images/rawMaterials/21.png,#36611C
Copper,1,https://nomansskyrecipes.com/raw/raw19,https://app.nmsassistant.com/assets/images/rawMaterials/19.png,#E59001,Chromatic Metal,1,https://nomansskyrecipes.com/raw/raw23,https://app.nmsassistant.com/assets/images/rawMaterials/23.png,#260000,,,,,,Copper,2,https://nomansskyrecipes.com/raw/raw19,https://app.nmsassistant.com/assets/images/rawMaterials/19.png,#E59001
Paraffinium,1,https://nomansskyrecipes.com/raw/raw24,https://app.nmsassistant.com/assets/images/rawMaterials/24.png,#4E404F,Star Bulb,1,https://nomansskyrecipes.com/raw/raw47,https://app.nmsassistant.com/assets/images/rawMaterials/47.png,#208DAB,,,,,,Star Bulb,2,https://nomansskyrecipes.com/raw/raw47,https://app.nmsassistant.com/assets/images/rawMaterials/47.png,#208DAB
Pyrite,1,https://nomansskyrecipes.com/raw/raw25,https://app.nmsassistant.com/assets/images/rawMaterials/25.png,#E57002,Cactus Flesh,1,https://nomansskyrecipes.com/raw/raw45,https://app.nmsassistant.com/assets/images/rawMaterials/45.png,#239626,,,,,,Cactus Flesh,2,https://nomansskyrecipes.com/raw/raw45,https://app.nmsassistant.com/assets/images/rawMaterials/45.png,#239626
Ammonia,1,https://nomansskyrecipes.com/raw/raw26,https://app.nmsassistant.com/assets/images/rawMaterials/26.png,#00A64D,Fungal Mould,1,https://nomansskyrecipes.com/raw/raw42,https://app.nmsassistant.com/assets/images/rawMaterials/42.png,#00A64D,,,,,,Fungal Mould,2,https://nomansskyrecipes.com/raw/raw42,https://app.nmsassistant.com/assets/images/rawMaterials/42.png,#00A64D
Uranium,1,https://nomansskyrecipes.com/raw/raw27,https://app.nmsassistant.com/assets/images/rawMaterials/27.png,#FFAD00,Gamma Root,1,https://nomansskyrecipes.com/raw/raw44,https://app.nmsassistant.com/assets/images/rawMaterials/44.png,#C5871D,,,,,,Gamma Root,2,https://nomansskyrecipes.com/raw/raw44,https://app.nmsassistant.com/assets/images/rawMaterials/44.png,#C5871D
Dioxite,1,https://nomansskyrecipes.com/raw/raw28,https://app.nmsassistant.com/assets/images/rawMaterials/28.png,#1E4FD0,Frost Crystal,1,https://nomansskyrecipes.com/raw/raw43,https://app.nmsassistant.com/assets/images/rawMaterials/43.png,#1E4FD0,,,,,,Frost Crystal,2,https://nomansskyrecipes.com/raw/raw43,https://app.nmsassistant.com/assets/images/rawMaterials/43.png,#1E4FD0
Phosphorus,1,https://nomansskyrecipes.com/raw/raw29,https://app.nmsassistant.com/assets/images/rawMaterials/29.png,#DB2400,Solanium,1,https://nomansskyrecipes.com/raw/raw46,https://app.nmsassistant.com/assets/images/rawMaterials/46.png,#B94318,,,,,,Solanium,2,https://nomansskyrecipes.com/raw/raw46,https://app.nmsassistant.com/assets/images/rawMaterials/46.png,#B94318
Salt,2,https://nomansskyrecipes.com/raw/raw16,https://app.nmsassistant.com/assets/images/rawMaterials/16.png,#1E8A42,Oxygen,2,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Chlorine,5,https://nomansskyrecipes.com/raw/raw17,https://app.nmsassistant.com/assets/images/rawMaterials/17.png,#1E8A42
Chlorine,1,https://nomansskyrecipes.com/raw/raw17,https://app.nmsassistant.com/assets/images/rawMaterials/17.png,#1E8A42,Oxygen,2,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Chlorine,6,https://nomansskyrecipes.com/raw/raw17,https://app.nmsassistant.com/assets/images/rawMaterials/17.png,#1E8A42
Cobalt,2,https://nomansskyrecipes.com/raw/raw14,https://app.nmsassistant.com/assets/images/rawMaterials/14.png,#005C83,Oxygen,2,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Ionised Cobalt,5,https://nomansskyrecipes.com/raw/raw15,https://app.nmsassistant.com/assets/images/rawMaterials/15.png,#005C83
Ionised Cobalt,1,https://nomansskyrecipes.com/raw/raw15,https://app.nmsassistant.com/assets/images/rawMaterials/15.png,#005C83,Oxygen,2,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Ionised Cobalt,6,https://nomansskyrecipes.com/raw/raw15,https://app.nmsassistant.com/assets/images/rawMaterials/15.png,#005C83
Mordite,1,https://nomansskyrecipes.com/raw/raw30,https://app.nmsassistant.com/assets/images/rawMaterials/30.png,#512741,Pugneum,1,https://nomansskyrecipes.com/raw/raw31,https://app.nmsassistant.com/assets/images/rawMaterials/31.png,#4D2957,,,,,,Gold,1,https://nomansskyrecipes.com/raw/raw33,https://app.nmsassistant.com/assets/images/rawMaterials/33.png,#AA6E06
Silver,1,https://nomansskyrecipes.com/raw/raw32,https://app.nmsassistant.com/assets/images/rawMaterials/32.png,#8A7F72,Oxygen,1,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Paraffinium,2,https://nomansskyrecipes.com/raw/raw24,https://app.nmsassistant.com/assets/images/rawMaterials/24.png,#4E404F
Gold,1,https://nomansskyrecipes.com/raw/raw33,https://app.nmsassistant.com/assets/images/rawMaterials/33.png,#AA6E06,Oxygen,1,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Pyrite,2,https://nomansskyrecipes.com/raw/raw25,https://app.nmsassistant.com/assets/images/rawMaterials/25.png,#E57002
Platinum,1,https://nomansskyrecipes.com/raw/raw34,https://app.nmsassistant.com/assets/images/rawMaterials/34.png,#507575,Oxygen,1,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Magnetised Ferrite,10,https://nomansskyrecipes.com/raw/raw10,https://app.nmsassistant.com/assets/images/rawMaterials/10.png,#8A7F72
Sulphurine,1,https://nomansskyrecipes.com/raw/raw35,https://app.nmsassistant.com/assets/images/rawMaterials/35.png,#265E3A,Oxygen,1,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Radon,1,https://nomansskyrecipes.com/raw/raw36,https://app.nmsassistant.com/assets/images/rawMaterials/36.png,#4C3780
Radon,1,https://nomansskyrecipes.com/raw/raw36,https://app.nmsassistant.com/assets/images/rawMaterials/36.png,#4C3780,Oxygen,1,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Nitrogen,1,https://nomansskyrecipes.com/raw/raw37,https://app.nmsassistant.com/assets/images/rawMaterials/37.png,#DE921F
Nitrogen,1,https://nomansskyrecipes.com/raw/raw37,https://app.nmsassistant.com/assets/images/rawMaterials/37.png,#DE921F,Oxygen,1,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Sulphurine,1,https://nomansskyrecipes.com/raw/raw35,https://app.nmsassistant.com/assets/images/rawMaterials/35.png,#265E3A
Sulphurine,1,https://nomansskyrecipes.com/raw/raw35,https://app.nmsassistant.com/assets/images/rawMaterials/35.png,#265E3A,Chromatic Metal,1,https://nomansskyrecipes.com/raw/raw23,https://app.nmsassistant.com/assets/images/rawMaterials/23.png,#260000,,,,,,Radon,1,https://nomansskyrecipes.com/raw/raw36,https://app.nmsassistant.com/assets/images/rawMaterials/36.png,#4C3780
Radon,1,https://nomansskyrecipes.com/raw/raw36,https://app.nmsassistant.com/assets/images/rawMaterials/36.png,#4C3780,Chromatic Metal,1,https://nomansskyrecipes.com/raw/raw23,https://app.nmsassistant.com/assets/images/rawMaterials/23.png,#260000,,,,,,Nitrogen,1,https://nomansskyrecipes.com/raw/raw37,https://app.nmsassistant.com/assets/images/rawMaterials/37.png,#DE921F
Nitrogen,1,https://nomansskyrecipes.com/raw/raw37,https://app.nmsassistant.com/assets/images/rawMaterials/37.png,#DE921F,Chromatic Metal,1,https://nomansskyrecipes.com/raw/raw23,https://app.nmsassistant.com/assets/images/rawMaterials/23.png,#260000,,,,,,Sulphurine,1,https://nomansskyrecipes.com/raw/raw35,https://app.nmsassistant.com/assets/images/rawMaterials/35.png,#265E3A
Nitrogen,1,https://nomansskyrecipes.com/raw/raw37,https://app.nmsassistant.com/assets/images/rawMaterials/37.png,#DE921F,Sodium,1,https://nomansskyrecipes.com/raw/raw12,https://app.nmsassistant.com/assets/images/rawMaterials/12.png,#F26D15,,,,,,Sodium Nitrate,1,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15
Nitrogen,1,https://nomansskyrecipes.com/raw/raw37,https://app.nmsassistant.com/assets/images/rawMaterials/37.png,#DE921F,Sodium Nitrate,1,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15,,,,,,Sodium Nitrate,2,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15
Marrow Bulb,1,https://nomansskyrecipes.com/raw/raw48,https://app.nmsassistant.com/assets/images/rawMaterials/48.png,#5B6F35,Oxygen,1,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Ionised Cobalt,2,https://nomansskyrecipes.com/raw/raw15,https://app.nmsassistant.com/assets/images/rawMaterials/15.png,#005C83
Kelp Sac,1,https://nomansskyrecipes.com/raw/raw49,https://app.nmsassistant.com/assets/images/rawMaterials/49.png,#005C83,Oxygen,1,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Chlorine,2,https://nomansskyrecipes.com/raw/raw17,https://app.nmsassistant.com/assets/images/rawMaterials/17.png,#1E8A42
Faecium,1,https://nomansskyrecipes.com/raw/raw50,https://app.nmsassistant.com/assets/images/rawMaterials/50.png,#79502E,Oxygen,1,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830,,,,,,Faecium,3,https://nomansskyrecipes.com/raw/raw50,https://app.nmsassistant.com/assets/images/rawMaterials/50.png,#79502E
Marrow Bulb,1,https://nomansskyrecipes.com/raw/raw48,https://app.nmsassistant.com/assets/images/rawMaterials/48.png,#5B6F35,Pugneum,1,https://nomansskyrecipes.com/raw/raw31,https://app.nmsassistant.com/assets/images/rawMaterials/31.png,#4D2957,,,,,,Ionised Cobalt,2,https://nomansskyrecipes.com/raw/raw15,https://app.nmsassistant.com/assets/images/rawMaterials/15.png,#005C83
Kelp Sac,1,https://nomansskyrecipes.com/raw/raw49,https://app.nmsassistant.com/assets/images/rawMaterials/49.png,#005C83,Pugneum,1,https://nomansskyrecipes.com/raw/raw31,https://app.nmsassistant.com/assets/images/rawMaterials/31.png,#4D2957,,,,,,Chlorine,2,https://nomansskyrecipes.com/raw/raw17,https://app.nmsassistant.com/assets/images/rawMaterials/17.png,#1E8A42
Marrow Bulb,1,https://nomansskyrecipes.com/raw/raw48,https://app.nmsassistant.com/assets/images/rawMaterials/48.png,#5B6F35,Carbon,1,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830,,,,,,Sodium,2,https://nomansskyrecipes.com/raw/raw12,https://app.nmsassistant.com/assets/images/rawMaterials/12.png,#F26D15
Kelp Sac,1,https://nomansskyrecipes.com/raw/raw49,https://app.nmsassistant.com/assets/images/rawMaterials/49.png,#005C83,Carbon,1,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830,,,,,,Oxygen,2,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830
Faecium,1,https://nomansskyrecipes.com/raw/raw50,https://app.nmsassistant.com/assets/images/rawMaterials/50.png,#79502E,Carbon,2,https://nomansskyrecipes.com/raw/raw1,https://app.nmsassistant.com/assets/images/rawMaterials/1.png,#BB3830,,,,,,Condensed Carbon,2,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830
Marrow Bulb,1,https://nomansskyrecipes.com/raw/raw48,https://app.nmsassistant.com/assets/images/rawMaterials/48.png,#5B6F35,Sodium,1,https://nomansskyrecipes.com/raw/raw12,https://app.nmsassistant.com/assets/images/rawMaterials/12.png,#F26D15,,,,,,Sodium Nitrate,2,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15
Kelp Sac,1,https://nomansskyrecipes.com/raw/raw49,https://app.nmsassistant.com/assets/images/rawMaterials/49.png,#005C83,Sodium,1,https://nomansskyrecipes.com/raw/raw12,https://app.nmsassistant.com/assets/images/rawMaterials/12.png,#F26D15,,,,,,Sodium Nitrate,2,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15
Faecium,1,https://nomansskyrecipes.com/raw/raw50,https://app.nmsassistant.com/assets/images/rawMaterials/50.png,#79502E,Sodium,1,https://nomansskyrecipes.com/raw/raw12,https://app.nmsassistant.com/assets/images/rawMaterials/12.png,#F26D15,,,,,,Sodium Nitrate,2,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15
Marrow Bulb,1,https://nomansskyrecipes.com/raw/raw48,https://app.nmsassistant.com/assets/images/rawMaterials/48.png,#5B6F35,Condensed Carbon,1,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830,,,,,,Sodium,2,https://nomansskyrecipes.com/raw/raw12,https://app.nmsassistant.com/assets/images/rawMaterials/12.png,#F26D15
Kelp Sac,1,https://nomansskyrecipes.com/raw/raw49,https://app.nmsassistant.com/assets/images/rawMaterials/49.png,#005C83,Condensed Carbon,1,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830,,,,,,Oxygen,2,https://nomansskyrecipes.com/raw/raw3,https://app.nmsassistant.com/assets/images/rawMaterials/3.png,#BB3830
Faecium,1,https://nomansskyrecipes.com/raw/raw50,https://app.nmsassistant.com/assets/images/rawMaterials/50.png,#79502E,Condensed Carbon,1,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830,,,,,,Condensed Carbon,3,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830
Marrow Bulb,1,https://nomansskyrecipes.com/raw/raw48,https://app.nmsassistant.com/assets/images/rawMaterials/48.png,#5B6F35,Sodium Nitrate,1,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15,,,,,,Sodium Nitrate,2,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15
Kelp Sac,1,https://nomansskyrecipes.com/raw/raw49,https://app.nmsassistant.com/assets/images/rawMaterials/49.png,#005C83,Sodium Nitrate,1,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15,,,,,,Sodium Nitrate,2,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15
Faecium,1,https://nomansskyrecipes.com/raw/raw50,https://app.nmsassistant.com/assets/images/rawMaterials/50.png,#79502E,Sodium Nitrate,1,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15,,,,,,Sodium Nitrate,2,https://nomansskyrecipes.com/raw/raw13,https://app.nmsassistant.com/assets/images/rawMaterials/13.png,#F26D15
Marrow Bulb,1,https://nomansskyrecipes.com/raw/raw48,https://app.nmsassistant.com/assets/images/rawMaterials/48.png,#5B6F35,Cobalt,1,https://nomansskyrecipes.com/raw/raw14,https://app.nmsassistant.com/assets/images/rawMaterials/14.png,#005C83,,,,,,Ionised Cobalt,2,https://nomansskyrecipes.com/raw/raw15,https://app.nmsassistant.com/assets/images/rawMaterials/15.png,#005C83
Kelp Sac,1,https://nomansskyrecipes.com/raw/raw49,https://app.nmsassistant.com/assets/images/rawMaterials/49.png,#005C83,Salt,1,https://nomansskyrecipes.com/raw/raw16,https://app.nmsassistant.com/assets/images/rawMaterials/16.png,#1E8A42,,,,,,Chlorine,2,https://nomansskyrecipes.com/raw/raw17,https://app.nmsassistant.com/assets/images/rawMaterials/17.png,#1E8A42
Marrow Bulb,1,https://nomansskyrecipes.com/raw/raw48,https://app.nmsassistant.com/assets/images/rawMaterials/48.png,#5B6F35,Ionised Cobalt,1,https://nomansskyrecipes.com/raw/raw15,https://app.nmsassistant.com/assets/images/rawMaterials/15.png,#005C83,,,,,,Ionised Cobalt,2,https://nomansskyrecipes.com/raw/raw15,https://app.nmsassistant.com/assets/images/rawMaterials/15.png,#005C83
Kelp Sac,1,https://nomansskyrecipes.com/raw/raw49,https://app.nmsassistant.com/assets/images/rawMaterials/49.png,#005C83,Chlorine,1,https://nomansskyrecipes.com/raw/raw17,https://app.nmsassistant.com/assets/images/rawMaterials/17.png,#1E8A42,,,,,,Chlorine,2,https://nomansskyrecipes.com/raw/raw17,https://app.nmsassistant.com/assets/images/rawMaterials/17.png,#1E8A42
Faecium,1,https://nomansskyrecipes.com/raw/raw50,https://app.nmsassistant.com/assets/images/rawMaterials/50.png,#79502E,Pugneum,1,https://nomansskyrecipes.com/raw/raw31,https://app.nmsassistant.com/assets/images/rawMaterials/31.png,#4D2957,,,,,,Gold,2,https://nomansskyrecipes.com/raw/raw33,https://app.nmsassistant.com/assets/images/rawMaterials/33.png,#AA6E06
Faecium,1,https://nomansskyrecipes.com/raw/raw50,https://app.nmsassistant.com/assets/images/rawMaterials/50.png,#79502E,Mordite,1,https://nomansskyrecipes.com/raw/raw30,https://app.nmsassistant.com/assets/images/rawMaterials/30.png,#512741,,,,,,Condensed Carbon,2,https://nomansskyrecipes.com/raw/raw2,https://app.nmsassistant.com/assets/images/rawMaterials/2.png,#BB3830
Indium,1,https://nomansskyrecipes.com/raw/raw22,https://app.nmsassistant.com/assets/images/rawMaterials/22.png,#01387D,Ferrite Dust,1,https://nomansskyrecipes.com/raw/raw8,https://app.nmsassistant.com/assets/images/rawMaterials/8.png,#8A7F72,,,,,,Magnetised Ferrite,4,https://nomansskyrecipes.com/raw/raw10,https://app.nmsassistant.com/assets/images/rawMaterials/10.png,#8A7F72
Cadmium,1,https://nomansskyrecipes.com/raw/raw20,https://app.nmsassistant.com/assets/images/rawMaterials/20.png,#7B0000,Ferrite Dust,1,https://nomansskyrecipes.com/raw/raw8,https://app.nmsassistant.com/assets/images/rawMaterials/8.png,#8A7F72,,,,,,Magnetised Ferrite,2,https://nomansskyrecipes.com/raw/raw10,https://app.nmsassistant.com/assets/images/rawMaterials/10.png,#8A7F72
Emeril,1,https://nomansskyrecipes.com/raw/raw21,https://app.nmsassistant.com/assets/images/rawMaterials/21.png,#36611C,Ferrite Dust,1,https://nomansskyrecipes.com/raw/raw8,https://app.nmsassistant.com/assets/images/rawMaterials/8.png,#8A7F72,,,,,,Magnetised Ferrite,3,https://nomansskyrecipes.com/raw/raw10,https://app.nmsassistant.com/assets/images/rawMaterials/10.png,#8A7F72
Copper,1,https://nomansskyrecipes.com/raw/raw19,https://app.nmsassistant.com/assets/images/rawMaterials/19.png,#E59001,Ferrite Dust,1,https://nomansskyrecipes.com/raw/raw8,https://app.nmsassistant.com/assets/images/rawMaterials/8.png,#8A7F72,,,,,,Magnetised Ferrite,1,https://nomansskyrecipes.com/raw/raw10,https://app.nmsassistant.com/assets/images/rawMaterials/10.png,#8A7F72
Cadmium,1,https://nomansskyrecipes.com/raw/raw20,https://app.nmsassistant.com/assets/images/rawMaterials/20.png,#7B0000,Pure Ferrite,1,https://nomansskyrecipes.com/raw/raw9,https://app.nmsassistant.com/assets/images/rawMaterials/9.png,#8A7F72,,,,,,Chromatic Metal,2,https://nomansskyrecipes.com/raw/raw23,https://app.nmsassistant.com/assets/images/rawMaterials/23.png,#260000
